report_date,noncomm_long,noncomm_short,net_long,open_interest
2012-05-15,41857,45715,-3858,148020
2012-05-22,40184,50282,-10098,150276
2012-05-29,40639,52277,-11638,148782
2012-06-05,40259,56896,-16637,156367
2012-06-12,38794,53752,-14958,152198
2012-06-19,37756,52038,-14282,144949
2012-06-26,38453,55298,-16845,146469
2012-07-03,37821,51034,-13213,135726
2012-07-10,39390,49754,-10364,134149
2012-07-17,39798,48085,-8287,138148
2012-07-24,40765,53834,-13069,142443
2012-07-31,38672,53392,-14720,142820
2012-08-07,39671,56931,-17260,145107
2012-08-14,38874,56655,-17781,156302
2012-08-21,40773,53655,-12882,149521
2012-08-28,41645,49738,-8093,145284
2012-09-04,38833,48891,-10058,136572
2012-09-11,49549,47009,2540,147726
2012-09-18,51005,48001,3004,149249
2012-09-25,54605,49473,5132,152396
2012-10-02,54815,45801,9014,152408
2012-10-09,54605,42786,11819,152134
2012-10-16,52776,41281,11495,150433
2012-10-23,48775,41891,6884,153742
2012-10-30,45589,47906,-2317,156761
2012-11-06,42032,44263,-2231,155633
2012-11-13,41565,46021,-4456,152139
2012-11-20,39621,43074,-3453,148006
2012-11-27,38126,41105,-2979,145471
2012-12-04,44291,35255,9036,144234
2012-12-11,48572,35967,12605,151575
2012-12-18,51517,36484,15033,154107
2012-12-24,45595,37889,7706,148703
2012-12-31,45471,36155,9316,146756
2013-01-08,47014,34638,12376,156476
2013-01-15,48072,36149,11923,155931
2013-01-22,48190,38674,9516,162159
2013-01-29,50621,41258,9363,168695
2013-02-05,61834,45647,16187,184248
2013-02-12,60024,44196,15828,174775
2013-02-19,58477,49217,9260,178678
2013-02-26,46770,47506,-736,161489
2013-03-05,49313,54908,-5595,159876
2013-03-12,48138,54257,-6119,158882
2013-03-19,47769,64079,-16310,169444
2013-03-26,49711,70022,-20311,173895
2013-04-02,48722,75800,-27078,181020
2013-04-09,47720,75064,-27344,184439
2013-04-16,45064,68472,-23408,189202
2013-04-23,43405,63975,-20570,174272
2013-04-30,43278,66620,-23342,167425
2013-05-07,42608,61072,-18464,160460
2013-05-14,39954,56935,-16981,161621
2013-05-21,39509,52501,-12992,164199
2013-05-28,38787,51959,-13172,167166
2013-06-04,41513,51019,-9506,169723
2013-06-11,40933,58727,-17794,182355
2013-06-18,47816,74037,-26221,196007
2013-06-25,46902,78454,-31552,179494
2013-07-02,44900,73256,-28356,171686
2013-07-09,44264,72179,-27915,169838
2013-07-16,39416,61636,-22220,164547
2013-07-23,38652,61581,-22929,162459
2013-07-30,39302,70335,-31033,166738
2013-08-06,37870,59354,-21484,164603
2013-08-13,38808,45512,-6704,162476
2013-08-20,44416,44468,-52,160917
2013-08-27,42777,43600,-823,157322
2013-09-03,40854,45327,-4473,149509
2013-09-10,37875,46467,-8592,149577
2013-09-17,35648,50908,-15260,149546
2013-09-24,36635,43890,-7255,147904
2013-10-01,39044,40361,-1317,148305
2013-10-08,37884,41750,-3866,148254
2013-10-15,37631,45383,-7752,150150
2013-10-22,44626,41015,3611,155397
2013-10-29,38284,48309,-10025,154912
2013-11-05,36728,46515,-9787,149044
2013-11-12,39984,59002,-19018,163718
2013-11-19,40433,74459,-34026,173776
2013-11-26,41196,71269,-30073,159279
2013-12-03,42937,70414,-27477,160620
2013-12-10,44245,57437,-13192,160228
2013-12-17,54850,52515,2335,160613
2013-12-24,60844,56072,4772,165813
2013-12-31,65927,55477,10450,167779
2014-01-07,67496,54977,12519,170337
2014-01-14,59261,52194,7067,164019
2014-01-21,61025,51289,9736,160900
2014-01-28,51779,51801,-22,153430
2014-02-04,45662,59148,-13486,152388
2014-02-11,46855,64959,-18104,165563
2014-02-18,45291,59136,-13845,163586
2014-02-25,45042,53170,-8128,146640
2014-03-04,45621,58971,-13350,145733
2014-03-11,47565,69157,-21592,156494
2014-03-18,48960,77261,-28301,160339
2014-03-25,45374,78317,-32943,154910
2014-04-01,45442,71185,-25743,153967
2014-04-08,45493,63897,-18404,154200
2014-04-15,43395,64790,-21395,164980
2014-04-22,40923,60798,-19875,153788
2014-04-29,42322,56048,-13726,139482
2014-05-06,40899,58188,-17289,142582
2014-05-13,48909,58827,-9918,152093
2014-05-20,50971,56367,-5396,150858
2014-05-27,52015,56167,-4152,153981
2014-06-03,47341,56886,-9545,152241
2014-06-10,40135,55339,-15204,148047
2014-06-17,38163,56093,-17930,152137
2014-06-24,41993,49571,-7578,143153
2014-07-01,52306,54068,-1762,146615
2014-07-08,65507,58379,7128,161515
2014-07-15,76482,61822,14660,179964
2014-07-22,70057,61234,8823,181072
2014-07-29,63654,59406,4248,175593
2014-08-05,61947,54508,7439,171881
2014-08-12,47013,48516,-1503,154233
2014-08-19,43851,50090,-6239,152812
2014-08-26,46210,46176,34,147081
2014-09-02,42834,46753,-3919,137012
2014-09-09,48058,57818,-9760,144848
2014-09-16,48349,61942,-13593,143992
2014-09-23,50856,70852,-19996,153068
2014-09-30,51760,75449,-23689,161179
2014-10-07,54273,79474,-25201,168359
2014-10-14,54923,78859,-23936,168266
2014-10-21,54434,82285,-27851,176372
2014-10-28,54390,75804,-21414,170643
2014-11-04,47290,73283,-25993,165732
2014-11-11,47983,73678,-25695,171153
2014-11-18,52728,77509,-24781,177218
2014-11-25,55295,83620,-28325,161294
2014-12-02,50598,84788,-34190,159724
2014-12-09,47123,80062,-32939,152738
2014-12-16,46990,76693,-29703,152538
2014-12-23,43401,75614,-32213,153226
2014-12-30,44377,79453,-35076,159515
2015-01-06,45832,87126,-41294,170492
2015-01-13,53310,89112,-35802,180063
2015-01-20,46255,83016,-36761,173587
2015-01-27,46556,87196,-40640,179900
2015-02-03,47140,87153,-40013,182044
2015-02-10,45837,87390,-41553,187046
2015-02-17,44872,82663,-37791,187012
2015-02-24,50684,80677,-29993,172321
2015-03-03,51014,73796,-22782,163690
2015-03-10,53329,74839,-21510,164858
2015-03-17,55274,72801,-17527,165071
